# Experiment IPTS-28662 Run 198388
# Reduction unknown
# Run title: sample1_pcps_d2obuffer-198382-7.
# Run start time: 2022-12-07T05:50:40.745408667
# Reduction time: Wed Sep 10 11:16:46 2025
# Q summing: False
# TOF weighted: False
# Bck in Q: False
# Theta offset: 0
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B
# 198388    198403    4.68567        2.5026         5.84094      0.0879       0.2052       332.49       0.0087      
# 198389    198403    9.27811        2.50312        5.84062      0.1740       0.4060       1251.1       0.0344      
# Q [1/Angstrom]        R                     dR                    dQ [FWHM]            
  0.0874412005654636    0.0002536285092551    0.0000226771346635    0.0019802324618788
  0.0891900245767729    0.0002447540638881    0.0000153281543154    0.0020198371111164
  0.0909738250683083    0.0002503773807390    0.0000155015812576    0.0020602338533387
  0.0927933015696745    0.0002379958246820    0.0000145429923885    0.0021014385304055
  0.0946491676010680    0.0002267372639826    0.0000136619757205    0.0021434673010136
  0.0965421509530894    0.0002140524949046    0.0000126945818960    0.0021863366470339
  0.0984729939721511    0.0001971958049540    0.0000115962330218    0.0022300633799746
  0.1004424538515942    0.0001968337448828    0.0000115025904627    0.0022746646475740
  0.1024513029286260    0.0001774426898238    0.0000102276550391    0.0023201579405255
  0.1045003289871986    0.0001701477602883    0.0000097287702225    0.0023665610993360
  0.1065903355669425    0.0001627784397077    0.0000092274257243    0.0024138923213228
  0.1087221422782814    0.0001422927048471    0.0000079798215419    0.0024621701677492
  0.1108965851238470    0.0001389629319530    0.0000078411994533    0.0025114135711042
  0.1131145168263240    0.0001288529950236    0.0000072056356450    0.0025616418425263
  0.1153768071628505    0.0001188334155090    0.0000066114458581    0.0026128746793768
  0.1176843433061075    0.0001102886886269    0.0000061278163413    0.0026651321729643
  0.1200380301722296    0.0000993100506575    0.0000054966391115    0.0027184348164236
  0.1224387907756742    0.0000905533284159    0.0000049810927817    0.0027728035127521
  0.1248875665911877    0.0000857594660423    0.0000047302741420    0.0028282595830071
  0.1273853179230114    0.0000748679803550    0.0000041729031187    0.0028848247746673
  0.1299330242814717    0.0000683816168925    0.0000038270442036    0.0029425212701606
  0.1325316847671011    0.0000596948083988    0.0000033130262440    0.0030013716955638
  0.1351823184624432    0.0000542742256813    0.0000030425007000    0.0030613991294751
  0.1378859648316920    0.0000486180220242    0.0000027034767435    0.0031226271120646
  0.1406436841283258    0.0000411690955544    0.0000023026270372    0.0031850796543059
  0.1434565578108924    0.0000362825195748    0.0000020606437577    0.0032487812473920
  0.1463256889671102    0.0000313706240099    0.0000018214359265    0.0033137568723399
  0.1492522027464524    0.0000266793729254    0.0000015800198484    0.0033800320097867
  0.1522372468013815    0.0000201515772276    0.0000012595900266    0.0034476326499824
  0.1552819917374091    0.0000184930516940    0.0000011674432294    0.0035165853029821
  0.1583876315721573    0.0000139100372415    0.0000009714778206    0.0035869170090417
  0.1615553842036004    0.0000115892287748    0.0000008669934842    0.0036586553492225
  0.1647864918876724    0.0000095462511131    0.0000007395635219    0.0037318284562070
  0.1680822217254259    0.0000074135404266    0.0000006789511234    0.0038064650253311
  0.1714438661599344    0.0000050437258954    0.0000006092305829    0.0038825943258377
  0.1748727434831331    0.0000034554681031    0.0000005373271626    0.0039602462123545
  0.1748727434831331    0.0000052141353820    0.0000003554235661    0.0039612275265120
  0.1783701983527958    0.0000020368181208    0.0000005205540068    0.0040394511366016
  0.1783701983527958    0.0000046919083675    0.0000003024666553    0.0040404520770422
  0.1819376023198517    0.0000024827984228    0.0000005026574410    0.0041202401593336
  0.1819376023198517    0.0000037259968412    0.0000002387759270    0.0041212611185831
  0.1855763543662488    0.0000013097203277    0.0000004858618423    0.0042026449625203
  0.1855763543662488    0.0000032047948099    0.0000002047884455    0.0042036863409547
  0.1892878814535737    0.0000013207837668    0.0000004784481185    0.0042866978617707
  0.1892878814535737    0.0000027329773555    0.0000001724834882    0.0042877600677738
  0.1930736390826452    0.0000000389726437    0.0000004820686003    0.0043724318190061
  0.1930736390826452    0.0000028051567239    0.0000001755747035    0.0043735152691293
  0.1969351118642981    0.0000003520913250    0.0000004457123821    0.0044598804553862
  0.1969351118642981    0.0000027001125461    0.0000001672285106    0.0044609855745119
  0.2008738141015841   -0.0000001084106637    0.0000004327044460    0.0045490780644940
  0.2008738141015841    0.0000025760588571    0.0000001584773951    0.0045502052860021
  0.2048912903836158    0.0000025965570230    0.0000001577774963    0.0046412093917222
  0.2089891161912881    0.0000026607962357    0.0000001588205577    0.0047340335795566
  0.2131688985151138    0.0000028172461539    0.0000001651951277    0.0048287142511477
  0.2174322764854161    0.0000030234836123    0.0000001762556451    0.0049252885361707
  0.2217809220151244    0.0000031511139155    0.0000001828467270    0.0050237943068941
  0.2262165404554269    0.0000034312809005    0.0000001964979030    0.0051242701930320
  0.2307408712645355    0.0000038950729150    0.0000002202321805    0.0052267555968926
  0.2353556886898262    0.0000037194721621    0.0000002092552903    0.0053312907088305
  0.2400628024636227    0.0000039009218094    0.0000002173829204    0.0054379165230071
  0.2448640585128952    0.0000039270756601    0.0000002170288582    0.0055466748534672
  0.2497613396831531    0.0000041608521349    0.0000002302823000    0.0056576083505366
  0.2547565664768162    0.0000039323738895    0.0000002192612942    0.0057707605175473
  0.2598516978063525    0.0000038065580075    0.0000002105272147    0.0058861757278983
  0.2650487317624796    0.0000035509274500    0.0000001954455456    0.0060038992424562
  0.2703497063977292    0.0000035377011625    0.0000001931075627    0.0061239772273054
  0.2757567005256837    0.0000033985783643    0.0000001843259392    0.0062464567718515
  0.2812718345361974    0.0000031531602235    0.0000001705815762    0.0063713859072885
  0.2868972712269214    0.0000031675549109    0.0000001706132133    0.0064988136254343
  0.2926352166514598    0.0000029998928330    0.0000001617977646    0.0066287898979429
  0.2984879209844890    0.0000027351333958    0.0000001476237682    0.0067613656959018
  0.3044576794041788    0.0000025694976712    0.0000001377054755    0.0068965930098198
  0.3105468329922624    0.0000026567754695    0.0000001424282471    0.0070345248700162
  0.3167577696521076    0.0000026246350475    0.0000001399770177    0.0071752153674166
  0.3230929250451497    0.0000024072067467    0.0000001283672398    0.0073187196747649
  0.3295547835460527    0.0000024409771290    0.0000001300112437    0.0074650940682602
  0.3361458792169738    0.0000024169955605    0.0000001287681092    0.0076143959496254
  0.3428687968013133    0.0000024167099409    0.0000001283252594    0.0077666838686179
  0.3497261727373396    0.0000024303485656    0.0000001287475986    0.0079220175459903
  0.3567206961920864    0.0000025524353270    0.0000001355668097    0.0080804578969101
  0.3638551101159281    0.0000024689991699    0.0000001311183567    0.0082420670548483
  0.3711322123182467    0.0000024830110242    0.0000001315247019    0.0084069083959452
  0.3785548565646116    0.0000023769697211    0.0000001253061995    0.0085750465638641
  0.3861259536959039    0.0000024043279025    0.0000001275169685    0.0087465474951414
  0.3938484727698219    0.0000023186027430    0.0000001225824140    0.0089214784450442
  0.4017254422252184    0.0000023240349468    0.0000001230647266    0.0090999080139451
