# Experiment IPTS-28662 Run 198409
# Reduction 2.0.13
# Run title: sample1_pcps_d2o_peg600_5pct-198409-1.
# Run start time: 2022-12-07T17:50:56.376265667
# Reduction time: Fri Nov 10 13:13:04 2023
# Q summing: False
# TOF weighted: False
# Bck in Q: False
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B
# 198409    198399    1.20076        13.0547        16.3931      0.005        0.0100       1            0           
# 198410    198400    1.20012        10.4888        13.8272      0.005        0.0125       1            0           
# 198411    198401    1.20012        7.89154        11.2299      0.005        0.0166       1.1051       -5.536      
# 198412    198402    1.19979        5.24418        8.58252      0.005        0.0250       6.6243       1.9231      
# 198413    198403    1.19947        2.5026         5.84094      0.005        0.0525       28.319       0.0002      
# 198414    198403    2.36543        2.5026         5.84094      0.005        0.1036       95.488       0.0016      
# 198415    198403    4.68567        2.5026         5.84094      0.005        0.2052       332.49       0.0087      
# 198416    198403    9.27811        2.50312        5.84062      0.005        0.4060       1251.1       0.0344      
# dQ0[1/Angstrom] = 0
# dQ/Q = 0.0275926
# Q [1/Angstrom]        R                     dR                    dQ [FWHM]            
  0.0081226081098499    0.9553312739097752    0.0665671097648830    0.0002262318864075
  0.0082850602720469    0.8799194292970859    0.0594772200234560    0.0002307565241356
  0.0084507614774878    0.9876096489604828    0.0591583264120448    0.0002353716546183
  0.0086197767070376    1.0690863843514729    0.0586314870478985    0.0002400790877107
  0.0087921722411783    0.9844377433552126    0.0528063756566919    0.0002448806694649
  0.0089680156860019    0.9823896081604071    0.0483271599553789    0.0002497782828542
  0.0091473759997219    1.0014414571323911    0.0462571805646019    0.0002547738485113
  0.0093303235197164    0.8961743572733509    0.0407699721878910    0.0002598693254815
  0.0095169299901107    0.9905125425883317    0.0403324134952160    0.0002650667119912
  0.0097072685899129    0.8853458902587579    0.0741024119805304    0.0002705143012304
  0.0099014139617112    0.9564025174268974    0.0714872091453462    0.0002759245872550
  0.0100994422409454    0.9018257773669797    0.0647488229278941    0.0002814430790001
  0.0103014310857643    1.1060853220846096    0.0679478433835469    0.0002870719405801
  0.0105074597074796    1.0592842811581873    0.0630805858919337    0.0002928133793917
  0.0107176089016292    1.0053005424873511    0.0576525447016756    0.0002986696469795
  0.0109319610796618    0.9313104489976026    0.0519758006374901    0.0003046430399191
  0.0111506003012550    0.9971824028768898    0.0508458912375270    0.0003107359007175
  0.0113736123072801    0.9573338425426422    0.0475519494550152    0.0003169506187319
  0.0116010845534257    1.0560559370122706    0.0462225510394692    0.0003232896311065
  0.0118331062444942    1.0625193915580156    0.0441189040651233    0.0003297554237286
  0.0118331062444942    1.1022599911552518    0.0976354244669279    0.0003272445956292
  0.0120697683693841    1.0984546369003036    0.0945245908741158    0.0003337894875418
  0.0123111637367718    1.0595377816848477    0.0890825966386564    0.0003404652772926
  0.0125573870115072    1.0177676202201864    0.0833510947019008    0.0003472745828384
  0.0128085347517374    0.9809493491207613    0.0792406898082028    0.0003542200744952
  0.0130647054467721    1.0761873828050250    0.0832291604624229    0.0003613044759851
  0.0133259995557076    0.9749118070216778    0.0746197756281178    0.0003685305655048
  0.0135925195468217    0.8152987041503530    0.0627219426561587    0.0003759011768149
  0.0138643699377582    0.4994872135980586    0.0409510209084613    0.0003834192003512
  0.0141416573365133    0.3792363796814487    0.0321976804817926    0.0003910875843582
  0.0144244904832436    0.2408595431226206    0.0221343263650272    0.0003989093360454
  0.0147129802929085    0.2082227917586876    0.0195062221541749    0.0004068875227663
  0.0150072398987666    0.1805095330520617    0.0169943337905711    0.0004150252732216
  0.0153073846967420    0.1386643828368384    0.0138267826533767    0.0004233257786861
  0.0156135323906768    0.1121759823232292    0.0119553951865790    0.0004317922942598
  0.0156135323906768    0.1455883877906127    0.0116990251422309    0.0004308044875110
  0.0159258030384903    0.1058086889689320    0.0086294192197075    0.0004394205772613
  0.0162443190992601    0.1086976249627764    0.0086338078600082    0.0004482089888065
  0.0165692054812453    0.0947748363541304    0.0075325921592470    0.0004571731685826
  0.0169005895908702    0.0774154238405650    0.0063256464322106    0.0004663166319543
  0.0172386013826877    0.0679256090776469    0.0055636921937175    0.0004756429645933
  0.0175833734103414    0.0629825840601339    0.0051546759022343    0.0004851558238852
  0.0179350408785482    0.0539997397284190    0.0044721890950823    0.0004948589403629
  0.0182937416961192    0.0488308444279761    0.0041055195636076    0.0005047561191702
  0.0186596165300416    0.0453481329306877    0.0037657428432623    0.0005148512415536
  0.0190328088606424    0.0381416006136493    0.0032482541021626    0.0005251482663847
  0.0194134650378553    0.0376867484625808    0.0031900378899886    0.0005356512317123
  0.0198017343386124    0.0356393132948382    0.0029362863701265    0.0005463642563466
  0.0201977690253846    0.0280079860292128    0.0023841888020720    0.0005572915414735
  0.0206017244058923    0.0243631031141398    0.0022050835003360    0.0005684373723030
  0.0210137588940102    0.0229392489239258    0.0020092148301878    0.0005798061197491
  0.0214340340718904    0.0218465458871662    0.0019052216228666    0.0005914022421440
  0.0218627147533282    0.0176634733592326    0.0015907863063298    0.0006032302869869
  0.0222999690483947    0.0207222286589651    0.0017429569954725    0.0006152948927267
  0.0227459684293626    0.0162785590534892    0.0014851836908485    0.0006276007905812
  0.0227459684293626    0.0146482030025221    0.0008026571718869    0.0006277706320896
  0.0232008877979499    0.0160840931910092    0.0013938689942878    0.0006401528063928
  0.0232008877979499    0.0140879486802368    0.0007660897781972    0.0006403260447314
  0.0236649055539089    0.0136679355290964    0.0012504403132129    0.0006529558625207
