BL4B:CS:Autoreduce:Sequence:Total,BL4B:CS:ExpPl:IncidentMedium,BL4B:CS:Autoreduce:Sequence:Num,BL4B:Mot:s1:Y:Gap,BL4B:Mot:si:Y:Gap,+p BL4B:Mot:ths,+p BL4B:Mot:tthd,+p BL4B:Mot:s1:Y:Center,+p BL4B:Mot:s1:X:Gap,+p BL4B:Mot:si:Y:Center,+p BL4B:Mot:si:X:Gap,+p BL4B:Mot:s3:Y:Gap,+p BL4B:Chop:Gbl:WavelengthReq,+p BL4B:Mot:att,Comment,Wait For,Value
5,Si2InDisk,1,0.39,0.25,0,0,0,20,0,20,10,15,15,,BL4B:Det:Neutrons,100000
,Si2InDisk,2,0.39,0.25,0,0,0,20,0,20,10,12.386,15,,BL4B:Det:Neutrons,100000
,Si2InDisk,3,0.39,0.25,0,0,0,18.598,0,18.598,10,9.74,15,,BL4B:Det:Neutrons,100000
,Si2InDisk,4,0.39,0.25,0,0,0,6.397,0,6.397,10,7.043,15,,BL4B:Det:Neutrons,100000
,Si2InDisk,5,0.39,0.25,0,0,0,3.009,0,3.009,10,4.25,15,,BL4B:Det:Neutrons,100000
